实体,实体类型
不饱和脂肪酸,风味物质
七醛,风味物质
雪松醇,风味物质
挥发性苷,风味物质
芳香物质,风味物质
5，6-环氧-β-紫罗酮,风味物质
6-氯吲哚,风味物质
二氢猕猴桃内酯,风味物质
反式香叶酮,风味物质
叶绿醇,风味物质
吲哚,风味物质
芳樟醇,风味物质
芳樟醇氧化物,风味物质
苯乙醇,风味物质
茉莉酸甲酯,风味物质
顺式茉莉醇,风味物质
香叶醇,风味物质
香豆素,风味物质
芹菜素,风味物质
