实体,实体类型
苦略甜,滋味
甜,滋味
苦,滋味
鲜爽,滋味
滋味,滋味
甜略苦,滋味
甜而回味苦,滋味
鲜爽甘甜,滋味
苦涩味,滋味
高爽,滋味
